route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
71,G2511L_F3,G2511L_F3_071-04_9,Martínez de la Rosa,0,071-04,712
71,G2511L_F3,G2511L_F3_071-04_10,Martínez de la Rosa,0,071-04,712
71,G2511L_F3,G2511L_F3_071-04_11,Martínez de la Rosa,0,071-04,712
71,G2511L_F3,G2511L_F3_071-04_12,Martínez de la Rosa,0,071-04,712
71,G2511L_F3,G2511L_F3_071-04_13,Martínez de la Rosa,0,071-04,712
71,G2511L_F3,G2511L_F3_071-04_14,Martínez de la Rosa,0,071-04,712
71,G2511L_F3,G2511L_F3_071-04_15,Martínez de la Rosa,0,071-04,712
71,G2511L_F3,G2511L_F3_071-04_16,Av. Aurora - Pza. Enrique Navarro Sur,0,071-04,712
71,G2511L_F3,G2511L_F3_071-05_2,Martínez de la Rosa,0,071-05,712
71,G2511L_F3,G2511L_F3_071-05_3,Martínez de la Rosa,0,071-05,712
71,G2511L_F3,G2511L_F3_071-05_4,Martínez de la Rosa,0,071-05,712
71,G2511L_F3,G2511L_F3_071-05_5,Martínez de la Rosa,0,071-05,712
71,G2511L_F3,G2511L_F3_071-05_6,Martínez de la Rosa,0,071-05,712
71,G2511L_F3,G2511L_F3_071-05_7,Martínez de la Rosa,0,071-05,712
71,G2511L_F3,G2511L_F3_071-05_8,Martínez de la Rosa,0,071-05,712
71,G2511L_F3,G2511L_F3_071-05_9,Martínez de la Rosa,0,071-05,712
71,G2511L_F3,G2511L_F3_071-05_10,Martínez de la Rosa,0,071-05,712
71,G2511L_F3,G2511L_F3_071-05_11,Martínez de la Rosa,0,071-05,712
71,G2511L_F3,G2511L_F3_071-05_12,Martínez de la Rosa,0,071-05,712
71,G2511L_F3,G2511L_F3_071-05_13,Martínez de la Rosa,0,071-05,712
71,G2511L_F3,G2511L_F3_071-05_14,Martínez de la Rosa,0,071-05,712
71,G2511L_F3,G2511L_F3_071-05_15,Av. Aurora - Pza. Enrique Navarro Sur,0,071-05,712
72,G2511L_F3,G2511L_F3_072-01_2,Camino de Suarez,0,072-01,722
72,G2511L_F3,G2511L_F3_072-01_3,Camino de Suarez,0,072-01,722
72,G2511L_F3,G2511L_F3_072-01_4,Camino de Suarez,0,072-01,722
72,G2511L_F3,G2511L_F3_072-01_5,Camino de Suarez,0,072-01,722
72,G2511L_F3,G2511L_F3_072-01_6,Camino de Suarez,0,072-01,722
72,G2511L_F3,G2511L_F3_072-01_7,Camino de Suarez,0,072-01,722
72,G2511L_F3,G2511L_F3_072-01_8,Camino de Suarez,0,072-01,722
72,G2511L_F3,G2511L_F3_072-01_9,Camino de Suarez,0,072-01,722
72,G2511L_F3,G2511L_F3_072-01_10,Camino de Suarez,0,072-01,722
72,G2511L_F3,G2511L_F3_072-01_11,Camino de Suarez,0,072-01,722
72,G2511L_F3,G2511L_F3_072-01_12,Camino de Suarez,0,072-01,722
72,G2511L_F3,G2511L_F3_072-01_13,Camino de Suarez,0,072-01,722
72,G2511L_F3,G2511L_F3_072-01_14,Camino de Suarez,0,072-01,722
72,G2511L_F3,G2511L_F3_072-01_15,Paseo del Parque - Plaza del General Torrijos,0,072-01,722
72,G2511L_F3,G2511L_F3_072-02_2,Camino de Suarez,0,072-02,722
72,G2511L_F3,G2511L_F3_072-02_3,Camino de Suarez,0,072-02,722
72,G2511L_F3,G2511L_F3_072-02_4,Camino de Suarez,0,072-02,722
72,G2511L_F3,G2511L_F3_072-02_5,Camino de Suarez,0,072-02,722
72,G2511L_F3,G2511L_F3_072-02_6,Camino de Suarez,0,072-02,722
72,G2511L_F3,G2511L_F3_072-02_7,Camino de Suarez,0,072-02,722
72,G2511L_F3,G2511L_F3_072-02_8,Camino de Suarez,0,072-02,722
72,G2511L_F3,G2511L_F3_072-02_9,Camino de Suarez,0,072-02,722
72,G2511L_F3,G2511L_F3_072-02_10,Camino de Suarez,0,072-02,722
72,G2511L_F3,G2511L_F3_072-02_11,Camino de Suarez,0,072-02,722
72,G2511L_F3,G2511L_F3_072-02_12,Camino de Suarez,0,072-02,722
72,G2511L_F3,G2511L_F3_072-02_13,Camino de Suarez,0,072-02,722
72,G2511L_F3,G2511L_F3_072-02_14,Camino de Suarez,0,072-02,722
72,G2511L_F3,G2511L_F3_072-02_15,Camino de Suarez,0,072-02,722
72,G2511L_F3,G2511L_F3_072-02_16,Camino de Suarez,0,072-02,722
72,G2511L_F3,G2511L_F3_072-02_17,Camino de Suarez,0,072-02,722
72,G2511L_F3,G2511L_F3_072-02_18,Paseo del Parque - Plaza del General Torrijos,0,072-02,722
72,G2511L_F3,G2511L_F3_072-03_2,Camino de Suarez,0,072-03,722
72,G2511L_F3,G2511L_F3_072-03_3,Camino de Suarez,0,072-03,722
72,G2511L_F3,G2511L_F3_072-03_4,Camino de Suarez,0,072-03,722
72,G2511L_F3,G2511L_F3_072-03_5,Camino de Suarez,0,072-03,722
72,G2511L_F3,G2511L_F3_072-03_6,Camino de Suarez,0,072-03,722
72,G2511L_F3,G2511L_F3_072-03_7,Camino de Suarez,0,072-03,722
72,G2511L_F3,G2511L_F3_072-03_8,Camino de Suarez,0,072-03,722
72,G2511L_F3,G2511L_F3_072-03_9,Camino de Suarez,0,072-03,722
72,G2511L_F3,G2511L_F3_072-03_10,Camino de Suarez,0,072-03,722
72,G2511L_F3,G2511L_F3_072-03_11,Camino de Suarez,0,072-03,722
72,G2511L_F3,G2511L_F3_072-03_12,Camino de Suarez,0,072-03,722
72,G2511L_F3,G2511L_F3_072-03_13,Camino de Suarez,0,072-03,722
72,G2511L_F3,G2511L_F3_072-03_14,Paseo del Parque - Plaza del General Torrijos,0,072-03,722
72,G2511L_F3,G2511L_F3_072-04_2,Camino de Suarez,0,072-04,722
72,G2511L_F3,G2511L_F3_072-04_3,Camino de Suarez,0,072-04,722
72,G2511L_F3,G2511L_F3_072-04_4,Camino de Suarez,0,072-04,722
72,G2511L_F3,G2511L_F3_072-04_5,Camino de Suarez,0,072-04,722
72,G2511L_F3,G2511L_F3_072-04_6,Camino de Suarez,0,072-04,722
72,G2511L_F3,G2511L_F3_072-04_7,Camino de Suarez,0,072-04,722
72,G2511L_F3,G2511L_F3_072-04_8,Camino de Suarez,0,072-04,722
72,G2511L_F3,G2511L_F3_072-04_9,Camino de Suarez,0,072-04,722
72,G2511L_F3,G2511L_F3_072-04_10,Camino de Suarez,0,072-04,722
72,G2511L_F3,G2511L_F3_072-04_11,Camino de Suarez,0,072-04,722
72,G2511L_F3,G2511L_F3_072-04_12,Camino de Suarez,0,072-04,722
72,G2511L_F3,G2511L_F3_072-04_13,Camino de Suarez,0,072-04,722
72,G2511L_F3,G2511L_F3_072-04_14,Camino de Suarez,0,072-04,722
72,G2511L_F3,G2511L_F3_072-04_15,Camino de Suarez,0,072-04,722
